Country,Region,District
United Republic of Tanzania,Arusha,Arumeru
United Republic of Tanzania,Arusha,Arusha
United Republic of Tanzania,Arusha,Karatu
United Republic of Tanzania,Arusha,Longido
United Republic of Tanzania,Arusha,Monduli
United Republic of Tanzania,Arusha,Ngorongoro
United Republic of Tanzania,Arusha,Waterbody
United Republic of Tanzania,Dar Es Salaam,Ilala
United Republic of Tanzania,Dar Es Salaam,Kigamboni
United Republic of Tanzania,Dar Es Salaam,Kinondoni
United Republic of Tanzania,Dar Es Salaam,Temeke
United Republic of Tanzania,Dar Es Salaam,Ubungo
United Republic of Tanzania,Dodoma,Bahi
United Republic of Tanzania,Dodoma,Chamwino
United Republic of Tanzania,Dodoma,Chemba
United Republic of Tanzania,Dodoma,Dodoma
United Republic of Tanzania,Dodoma,Kondoa
United Republic of Tanzania,Dodoma,Kongwa
United Republic of Tanzania,Dodoma,Mpwapwa
United Republic of Tanzania,Geita,Bukombe
United Republic of Tanzania,Geita,Chato
United Republic of Tanzania,Geita,Geita
United Republic of Tanzania,Geita,Mbogwe
United Republic of Tanzania,Geita,Nyang'Hwale
United Republic of Tanzania,Geita,Waterbody
United Republic of Tanzania,Iringa,Iringa
United Republic of Tanzania,Iringa,Kilolo
United Republic of Tanzania,Iringa,Mufindi
United Republic of Tanzania,Kagera,Biharamulo
United Republic of Tanzania,Kagera,Bukoba
United Republic of Tanzania,Kagera,Karagwe
United Republic of Tanzania,Kagera,Kyerwa
United Republic of Tanzania,Kagera,Missenyi
United Republic of Tanzania,Kagera,Muleba
United Republic of Tanzania,Kagera,Ngara
United Republic of Tanzania,Kagera,Waterbody
United Republic of Tanzania,Kaskazini Pemba,Micheweni
United Republic of Tanzania,Kaskazini Pemba,Wete
United Republic of Tanzania,Kaskazini Unguja,Kaskazini A
United Republic of Tanzania,Kaskazini Unguja,Kaskazini B
United Republic of Tanzania,Katavi,Mlele
United Republic of Tanzania,Katavi,Mpanda
United Republic of Tanzania,Katavi,Tanganyika
United Republic of Tanzania,Katavi,Waterbody
United Republic of Tanzania,Kigoma,Buhigwe
United Republic of Tanzania,Kigoma,Kakonko
United Republic of Tanzania,Kigoma,Kasulu
United Republic of Tanzania,Kigoma,Kibondo
United Republic of Tanzania,Kigoma,Kigoma
United Republic of Tanzania,Kigoma,Uvinza
United Republic of Tanzania,Kigoma,Waterbody
United Republic of Tanzania,Kilimanjaro,Hai
United Republic of Tanzania,Kilimanjaro,Moshi
United Republic of Tanzania,Kilimanjaro,Mwanga
United Republic of Tanzania,Kilimanjaro,Rombo
United Republic of Tanzania,Kilimanjaro,Same
United Republic of Tanzania,Kilimanjaro,Siha
United Republic of Tanzania,Kusini Pemba,Chake Chake
United Republic of Tanzania,Kusini Pemba,Mkoani
United Republic of Tanzania,Kusini Unguja,Kati
United Republic of Tanzania,Kusini Unguja,Kusini
United Republic of Tanzania,Lindi,Kilwa
United Republic of Tanzania,Lindi,Lindi
United Republic of Tanzania,Lindi,Liwale
United Republic of Tanzania,Lindi,Nachingwea
United Republic of Tanzania,Lindi,Ruangwa
United Republic of Tanzania,Manyara,Babati
United Republic of Tanzania,Manyara,Hanang
United Republic of Tanzania,Manyara,Kiteto
United Republic of Tanzania,Manyara,Mbulu
